X_train,Y_train,X_test
[6.47316913347456],[0.8140878196398109],[30.807193043108672]
[-19.272989124059638],[-29.8609980412506],[56.94290453164915]
[20.267754989819394],[6.134463729868308],[9.994448199980274]
[-22.38652833608099],[-43.399277346037046],[20.006086885273234]
[-21.28990105892624],[-41.409224663287695],[37.04800971088827]
[64.85966910775696],[79.2224779442261],[10.486319850661705]
[-50.71584650711776],[-51.41553857549508],[11.6536009061825]
[-8.491652639929061],[-39.68826419599726],[-3.2535415686659555]
[-12.086033959554673],[-24.167968240685084],[-18.425949593204173]
[30.298468729154983],[33.80959529338229],[-26.127943256892763]
[8.481888352091074],[-4.156244721610527],[9.668521771802393]
[-6.830222508923047],[-15.357668662069507],[-14.169514947798103]
[34.29365433294173],[33.33622030628266],[7.930053385993775]
[26.849727814949922],[45.35836791453556],[22.062306193676083]
[18.409435549049743],[10.910597446152437],[-58.77216816169734]
[24.693740464612237],[26.034220581345053],[1.8037278779644765]
[-9.263840518130236],[-15.20246708977218],[1.478453657039065]
[-50.96099287225093],[-72.34306844030199],[43.36038646577789]
[-2.1692945616104318],[-5.291547173520356],[-12.454529022498942]
[-42.51786366254397],[-39.565488289437845],[16.68298825097918]
[2.6018913864360487],[7.619268561254776],[-20.56765183975494]
[39.485437608519696],[31.38138284607238],[-4.814917467087604]
[-5.793161732242243],[-19.28534727800972],[-15.533055357029962]
[-23.820329285547285],[-58.16920070502427],[34.48660237967267]
[0.9946882330462037],[0.7675974237834526],[-0.8237770991108624]
[-8.748903302430598],[-16.132358718213187],[-22.322478753242834]
[-11.67606568447626],[-17.373210933390297],[24.603076407160316]
[27.152121816951404],[35.41059149555688],[-20.56200633948319]
[-2.845235824665356],[-5.845799676868814],[-8.70453699042189]
[25.56917254981582],[18.59167407914024],[-9.175531642994702]
[-13.148897645433003],[-15.993075148110226],[4.635915308639847]
[11.692544415021146],[8.631004739706363],[6.306163114389695]
[11.271222173095024],[16.009107080734445],[6.2168221837730915]
[13.31783759947885],[14.996785191218947],[-18.875076894700154]
[-22.33416330925976],[-30.716137086996028],[14.763599580628085]
[-0.3402797610234556],[20.974206699234095],[55.466263184338764]
[-24.992004975537228],[-38.91012602764902],[-27.098703912439895]
[-5.547785232222923],[-2.7097852970649274],[59.3447024654045]
[30.761404792248214],[30.43272665053189],[-18.251331141104377]
[-6.5236617636823695],[4.124738797334119],[5.118084191180788]
[-15.959651057405424],[-34.09957099331072],[-17.21214293682715]
[-3.001996448129539],[-3.82233836054981],[-15.25251057596633]
[4.361172090934133],[-5.910283830595452],[-29.226509707964382]
[26.361874831960467],[34.759168711580585],[-27.198203819718714]
[-7.907535945931766],[10.110747713896163],[7.574946334860936]
[10.991683850460564],[9.836202558514866],[-0.07306589664614993]
[49.20676546051987],[51.21687418455971],[12.887063099122454]
[-39.603888801254435],[-55.96711591107936],[16.815644555653442]
[25.717597229372497],[41.19646687614593],[8.598458345674667]
[-18.264341166414468],[-36.36600849014506],[2.7765488566248804]
[40.440675101680355],[44.834007637952624],[-8.970967798799483]
[14.052133940722287],[33.546908160468305],[29.31010910408236]
[15.17061273714898],[18.824057571158317],[40.75178966117129]
[-2.402650610080654],[-15.511970041022316],[5.888274593033774]
[-46.00883261980991],[-61.19141677126137],[-54.5028127406409]
[33.99945021529261],[42.00222799077591],[13.509526324936276]
[-6.339865303164629],[-6.305023859860206],[70.771312702121]
[-9.876272204862358],[-20.683196566531056],[-15.41033441550952]
[42.71705173772209],[51.569775141141044],[6.685420036888956]
[3.229663129953977],[-1.156022059361483],[38.35447240082644]
[0.10701340907692813],[-6.164924922380786],[-7.191703715559925]
[35.70198361088576],[35.535522331237644],[13.937415037487844]
[-16.117504541999576],[-31.211111710908984],[-9.22208382803126]
[27.364436136826292],[17.136081987419338],[29.109515659204035]
[7.412577522985952],[-8.48894213098659],[24.79383274822713]
[18.819464009734972],[14.293714873109142],[26.086523938126614]
[32.72567396268314],[47.757640649024026],[24.610045190946067]
[27.27956469013081],[34.77246017172254],[61.116406302563746]
[5.269365188734807],[-0.4337955735226635],[-14.812134848180037]
[12.17846520212606],[20.91284144134699],[5.889939008761886]
[1.2502051190916523],[14.91293149907092],[-22.578661877680183]
[35.916941320974175],[29.189613212601508],[38.126535621839544]
[-19.6761113873894],[-38.822451591253895],[42.55918526832827]
[54.60933233368082],[48.982446769803545],[12.292185397722692]
[-31.17972214259327],[-48.622527204686044],[-3.4754081092745963]
[-6.9329374795174274],[-3.092921662753305],[8.512619314032241]
[19.970586605983215],[15.924996177588149],[-34.64523108222308]
[36.53353912319531],[44.89085596319825],[8.119303691272547]
[-0.6279677623226405],[-2.9506381370319437],[12.722427816171871]
